stage,estimated_cost_usd
artifacts:cover_semantics,0.066198
artifacts:editorial_plan,0.067356
artifacts:expert_comment,0.045577
artifacts:insights_candidates,0.118163
artifacts:insights_final,0.108894
artifacts:linkedin_post,0.061199
artifacts:quotes,0.065643
artifacts:regenerate:expert_comment,0.007144
artifacts:regenerate:insights_candidates,0.046561
artifacts:regenerate:insights_final,0.054373
artifacts:regenerate:linkedin_post,0.005749
artifacts:regenerate:quotes,0.003484
artifacts:regenerate:summary,0.010464
artifacts:summary,0.101608
context_category_fit,0.076523
doc_map,0.114483
evidence_packs:findings,0.081410
evidence_packs:limitations,0.063221
evidence_packs:methods,0.050744
evidence_packs:quote_candidates,0.051512
evidence_packs:scope,0.041990
rank_candidates,0.058949
rank_candidates:crop_refine,0.067090
structured_output:regenerate,0.002458
structured_output:repair,0.205857
taxonomy,0.081894
validate:grounding,0.155447
validate:semantic,0.055142
