stage,record_count
admission_preflight,20
analysis_complete,15
artifact_generation,18
candidate_qualification,20
category_fit,19
discovery,20
evidence_generation,19
final_html_validation,9
grounding_validation,15
publication_preflight,9
regeneration,15
rendering,9
semantic_validation,15
source_preparation,20
source_validation,20
structured_output_repair,19
taxonomy,19
