workflow,stage,error_code,error_retryable,error_severity,outcome,record_count,retry_count,first_seen,last_seen
report_download,ui_run,ui_run_payload_url_missing,0,error,failed,2,0,2026-06-29T06:38:38.501918+00:00,2026-06-29T06:39:25.172148+00:00
ui_run_replay,ui_run,ui_run_replay_manifest_missing,0,error,failed,1,0,2026-07-04T09:35:42.748264+00:00,2026-07-04T09:35:42.748264+00:00
