artifact_kind,state,producer,artifact_count,report_count,limitation
prompt_family:report_vs/validate/semantic,active,prompt_family_materialization,1,1,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/validate/semantic,superseded,prompt_family_materialization,2,1,persisted lineage; reuse-decision event count is not retained
public_editorial_quality_after,active,analysis_complete,1,1,persisted lineage; reuse-decision event count is not retained
public_editorial_quality_before,active,analysis_complete,1,1,persisted lineage; reuse-decision event count is not retained
public_editorial_quality_regen_attempt_1,active,analysis_complete,1,1,persisted lineage; reuse-decision event count is not retained
public_editorial_quality_regen_attempt_2,active,analysis_complete,1,1,persisted lineage; reuse-decision event count is not retained
public_editorial_quality_regen_attempt_3,active,analysis_complete,1,1,persisted lineage; reuse-decision event count is not retained
publish_readiness,active,render_complete,1,1,persisted lineage; reuse-decision event count is not retained
quote_candidates,active,analysis_complete,1,1,persisted lineage; reuse-decision event count is not retained
regeneration_candidate_audit_1,active,analysis_complete,1,1,persisted lineage; reuse-decision event count is not retained
regeneration_candidate_audit_2,active,analysis_complete,1,1,persisted lineage; reuse-decision event count is not retained
regeneration_candidate_audit_3,active,analysis_complete,1,1,persisted lineage; reuse-decision event count is not retained
rendered_html,active,render_complete,1,1,persisted lineage; reuse-decision event count is not retained
rendered_html,superseded,render_complete,2,1,persisted lineage; reuse-decision event count is not retained
report_context,active,analysis_complete,1,1,persisted lineage; reuse-decision event count is not retained
scope,active,analysis_complete,1,1,persisted lineage; reuse-decision event count is not retained
signals,active,render_complete,1,1,persisted lineage; reuse-decision event count is not retained
source_pdf,active,source_prepared,1,1,persisted lineage; reuse-decision event count is not retained
validation,active,analysis_complete,1,1,persisted lineage; reuse-decision event count is not retained
validation_regen_attempt_1,active,analysis_complete,1,1,persisted lineage; reuse-decision event count is not retained
validation_regen_attempt_2,active,analysis_complete,1,1,persisted lineage; reuse-decision event count is not retained
validation_regen_attempt_3,active,analysis_complete,1,1,persisted lineage; reuse-decision event count is not retained
