artifact_kind,state,producer,artifact_count,report_count,limitation
prompt_family:report_vs/artifacts/insights_candidates,superseded,prompt_family_materialization,71,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/insights_final,active,prompt_family_materialization,20,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/insights_final,superseded,prompt_family_materialization,71,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/linkedin_post,active,prompt_family_materialization,20,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/linkedin_post,superseded,prompt_family_materialization,71,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/quotes,active,prompt_family_materialization,20,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/quotes,superseded,prompt_family_materialization,71,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/summary,active,prompt_family_materialization,20,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/artifacts/summary,superseded,prompt_family_materialization,71,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/context_category_fit,active,prompt_family_materialization,20,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/context_category_fit,superseded,prompt_family_materialization,71,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/doc_map,active,prompt_family_materialization,20,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/doc_map,superseded,prompt_family_materialization,71,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/evidence_packs/context_category_fit,active,prompt_family_materialization,20,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/evidence_packs/context_category_fit,superseded,prompt_family_materialization,71,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/evidence_packs/findings,active,prompt_family_materialization,20,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/evidence_packs/findings,superseded,prompt_family_materialization,71,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/evidence_packs/limitations,active,prompt_family_materialization,20,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/evidence_packs/limitations,superseded,prompt_family_materialization,71,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/evidence_packs/methods,active,prompt_family_materialization,20,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/evidence_packs/methods,superseded,prompt_family_materialization,71,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/evidence_packs/quote_candidates,active,prompt_family_materialization,20,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/evidence_packs/quote_candidates,superseded,prompt_family_materialization,71,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/evidence_packs/report_context,active,prompt_family_materialization,20,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/evidence_packs/report_context,superseded,prompt_family_materialization,71,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/evidence_packs/scope,active,prompt_family_materialization,20,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/evidence_packs/scope,superseded,prompt_family_materialization,71,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/taxonomy,active,prompt_family_materialization,20,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/taxonomy,superseded,prompt_family_materialization,71,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/validate/grounding,active,prompt_family_materialization,20,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/validate/grounding,superseded,prompt_family_materialization,71,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/validate/semantic,active,prompt_family_materialization,20,20,persisted lineage; reuse-decision event count is not retained
prompt_family:report_vs/validate/semantic,superseded,prompt_family_materialization,71,20,persisted lineage; reuse-decision event count is not retained
public_editorial_quality_after,active,analysis_complete,7,7,persisted lineage; reuse-decision event count is not retained
public_editorial_quality_after,active,render_complete,18,18,persisted lineage; reuse-decision event count is not retained
public_editorial_quality_after,superseded,analysis_complete,20,20,persisted lineage; reuse-decision event count is not retained
public_editorial_quality_after,superseded,render_complete,2,2,persisted lineage; reuse-decision event count is not retained
public_editorial_quality_before,active,analysis_complete,7,7,persisted lineage; reuse-decision event count is not retained
public_editorial_quality_before,active,render_complete,18,18,persisted lineage; reuse-decision event count is not retained
public_editorial_quality_before,superseded,analysis_complete,20,20,persisted lineage; reuse-decision event count is not retained
public_editorial_quality_before,superseded,render_complete,2,2,persisted lineage; reuse-decision event count is not retained
public_editorial_quality_regen_attempt_1,active,analysis_complete,3,3,persisted lineage; reuse-decision event count is not retained
public_editorial_quality_regen_attempt_1,active,render_complete,9,9,persisted lineage; reuse-decision event count is not retained
public_editorial_quality_regen_attempt_1,superseded,analysis_complete,11,11,persisted lineage; reuse-decision event count is not retained
public_editorial_quality_regen_attempt_1,superseded,render_complete,2,2,persisted lineage; reuse-decision event count is not retained
public_editorial_quality_regen_attempt_2,active,analysis_complete,2,2,persisted lineage; reuse-decision event count is not retained
public_editorial_quality_regen_attempt_2,active,render_complete,2,2,persisted lineage; reuse-decision event count is not retained
public_editorial_quality_regen_attempt_2,superseded,analysis_complete,4,4,persisted lineage; reuse-decision event count is not retained
public_editorial_quality_regen_attempt_2,superseded,render_complete,2,2,persisted lineage; reuse-decision event count is not retained
public_editorial_quality_regen_attempt_3,active,analysis_complete,2,2,persisted lineage; reuse-decision event count is not retained
public_editorial_quality_regen_attempt_3,active,render_complete,1,1,persisted lineage; reuse-decision event count is not retained
public_editorial_quality_regen_attempt_3,superseded,analysis_complete,3,3,persisted lineage; reuse-decision event count is not retained
public_editorial_quality_regen_attempt_3,superseded,render_complete,2,2,persisted lineage; reuse-decision event count is not retained
publish_readiness,active,render_complete,20,20,persisted lineage; reuse-decision event count is not retained
publish_readiness,superseded,render_complete,61,20,persisted lineage; reuse-decision event count is not retained
quote_candidates,active,analysis_complete,6,6,persisted lineage; reuse-decision event count is not retained
quote_candidates,active,render_complete,19,19,persisted lineage; reuse-decision event count is not retained
quote_candidates,superseded,analysis_complete,20,20,persisted lineage; reuse-decision event count is not retained
quote_candidates,superseded,render_complete,1,1,persisted lineage; reuse-decision event count is not retained
regeneration_candidate_audit_1,active,analysis_complete,3,3,persisted lineage; reuse-decision event count is not retained
regeneration_candidate_audit_1,active,render_complete,9,9,persisted lineage; reuse-decision event count is not retained
regeneration_candidate_audit_1,superseded,analysis_complete,11,11,persisted lineage; reuse-decision event count is not retained
regeneration_candidate_audit_1,superseded,render_complete,2,2,persisted lineage; reuse-decision event count is not retained
regeneration_candidate_audit_2,active,analysis_complete,2,2,persisted lineage; reuse-decision event count is not retained
regeneration_candidate_audit_2,active,render_complete,2,2,persisted lineage; reuse-decision event count is not retained
regeneration_candidate_audit_2,superseded,analysis_complete,4,4,persisted lineage; reuse-decision event count is not retained
regeneration_candidate_audit_2,superseded,render_complete,2,2,persisted lineage; reuse-decision event count is not retained
regeneration_candidate_audit_3,active,analysis_complete,2,2,persisted lineage; reuse-decision event count is not retained
regeneration_candidate_audit_3,active,render_complete,1,1,persisted lineage; reuse-decision event count is not retained
regeneration_candidate_audit_3,superseded,analysis_complete,3,3,persisted lineage; reuse-decision event count is not retained
regeneration_candidate_audit_3,superseded,render_complete,2,2,persisted lineage; reuse-decision event count is not retained
rendered_html,active,render_complete,20,20,persisted lineage; reuse-decision event count is not retained
rendered_html,superseded,render_complete,200,20,persisted lineage; reuse-decision event count is not retained
report_context,active,analysis_complete,7,7,persisted lineage; reuse-decision event count is not retained
report_context,active,render_complete,18,18,persisted lineage; reuse-decision event count is not retained
report_context,superseded,analysis_complete,20,20,persisted lineage; reuse-decision event count is not retained
report_context,superseded,render_complete,2,2,persisted lineage; reuse-decision event count is not retained
