stage,record_count
acquisition,20
admission_preflight,20
artifact_generation,20
authenticated_readback,2
candidate_qualification,20
category_fit,20
discovery,20
evidence_generation,20
final_html_validation,20
grounding_validation,20
ingestion,20
publication_preflight,2
regeneration,20
rendering,20
repeat_publication,2
semantic_validation,20
source_preparation,20
source_validation,20
structured_output_repair,20
taxonomy,20
wordpress_lookup,2
wordpress_write,2
