stage,record_count
admission_preflight,1
analysis_complete,1
artifact_generation,1
candidate_qualification,1
category_fit,1
discovery,1
evidence_generation,1
final_html_validation,1
grounding_validation,1
publication_preflight,1
regeneration,1
rendering,1
semantic_validation,1
source_preparation,1
source_validation,1
structured_output_repair,1
taxonomy,1
