21:43:07 | INFO | market_lense.publish_orchestrator | {"run_id": "c0bc47ea-cb04-4082-b97c-428de976d3a1", "task_id": "out\\2023-email-sms-and-push-report-pdf.html", "span_id": "c9f5ffbc-c34b-4780-907f-f36c67c5e9e9", "trace_id": "0664af31-cc71-4911-bfbb-baa52639f7fc", "parent_span_id": "dc081732-2919-4561-9f26-1106ef1cd824", "span_name": "out\\2023-email-sms-and-push-report-pdf.html", "span_depth": 1, "timestamp_utc": "2026-05-19T19:43:07.422804+00:00", "module": "market_lense.publish_orchestrator", "role": "orchestrator", "event": "publish_file_id_resolved", "fields": {"html_path": "out\\2023-email-sms-and-push-report-pdf.html", "file_id": "1nM_RjcK5EUQVDkYEgxMBCWedV-oSNxhu", "source": "reports_db"}}
21:43:07 | INFO | market_lense.publish_orchestrator | {"run_id": "c0bc47ea-cb04-4082-b97c-428de976d3a1", "task_id": "out\\digital-2023-norfolk-island-pdf.html", "span_id": "57034621-fa14-4086-9ea1-afbeebc6c2b9", "trace_id": "0664af31-cc71-4911-bfbb-baa52639f7fc", "parent_span_id": "dc081732-2919-4561-9f26-1106ef1cd824", "span_name": "out\\digital-2023-norfolk-island-pdf.html", "span_depth": 1, "timestamp_utc": "2026-05-19T19:43:07.423333+00:00", "module": "market_lense.publish_orchestrator", "role": "orchestrator", "event": "publish_file_id_resolved", "fields": {"html_path": "out\\digital-2023-norfolk-island-pdf.html", "file_id": "1WLer4SiSdQEmWS3wtzEGhHcpr5lxyocA", "source": "reports_db"}}
21:43:07 | INFO | market_lense.publish_orchestrator | {"run_id": "c0bc47ea-cb04-4082-b97c-428de976d3a1", "task_id": "out\\bain-report-global-private-equity-report-2026-pdf.html", "span_id": "101b74e2-2ce0-431a-bd18-2ab10aea447e", "trace_id": "0664af31-cc71-4911-bfbb-baa52639f7fc", "parent_span_id": "dc081732-2919-4561-9f26-1106ef1cd824", "span_name": "out\\bain-report-global-private-equity-report-2026-pdf.html", "span_depth": 1, "timestamp_utc": "2026-05-19T19:43:07.423823+00:00", "module": "market_lense.publish_orchestrator", "role": "orchestrator", "event": "publish_file_id_resolved", "fields": {"html_path": "out\\bain-report-global-private-equity-report-2026-pdf.html", "file_id": "1kGVPIU1wWjbf1OW2xSFUvpYfOHr18uKG", "source": "reports_db"}}
21:43:07 | INFO | market_lense.publish_orchestrator | {"run_id": "c0bc47ea-cb04-4082-b97c-428de976d3a1", "task_id": "out\\docu-202604-robeco-stewardship-report-2025-pdf.html", "span_id": "2b89ddfa-8f20-4253-b6d9-c2bc6d0ef85e", "trace_id": "0664af31-cc71-4911-bfbb-baa52639f7fc", "parent_span_id": "dc081732-2919-4561-9f26-1106ef1cd824", "span_name": "out\\docu-202604-robeco-stewardship-report-2025-pdf.html", "span_depth": 1, "timestamp_utc": "2026-05-19T19:43:07.424279+00:00", "module": "market_lense.publish_orchestrator", "role": "orchestrator", "event": "publish_file_id_resolved", "fields": {"html_path": "out\\docu-202604-robeco-stewardship-report-2025-pdf.html", "file_id": "19AhAOR9_LLHyvKvzvT6ac7sFGQZEYNLk", "source": "reports_db"}}
21:43:07 | INFO | market_lense.publish_orchestrator | {"run_id": "c0bc47ea-cb04-4082-b97c-428de976d3a1", "task_id": "out\\year-in-review-2022-pdf.html", "span_id": "daf24838-4329-4e4e-8845-c45dedab7c94", "trace_id": "0664af31-cc71-4911-bfbb-baa52639f7fc", "parent_span_id": "dc081732-2919-4561-9f26-1106ef1cd824", "span_name": "out\\year-in-review-2022-pdf.html", "span_depth": 1, "timestamp_utc": "2026-05-19T19:43:07.424707+00:00", "module": "market_lense.publish_orchestrator", "role": "orchestrator", "event": "publish_file_id_resolved", "fields": {"html_path": "out\\year-in-review-2022-pdf.html", "file_id": "1Wm4HRYQ0ImIAEx4-tw2vz1T2i2ignIBD", "source": "reports_db"}}
21:43:07 | INFO | market_lense.state_service | {"run_id": "c0bc47ea-cb04-4082-b97c-428de976d3a1", "task_id": "out\\cm-agencyfactsheet-updated-12-4-2024-1-pdf.html", "span_id": "d391a9a1-c7e0-4fd9-b8c3-9268ea81aff0", "trace_id": "0664af31-cc71-4911-bfbb-baa52639f7fc", "parent_span_id": "dc081732-2919-4561-9f26-1106ef1cd824", "span_name": "out\\cm-agencyfactsheet-updated-12-4-2024-1-pdf.html", "span_depth": 1, "timestamp_utc": "2026-05-19T19:43:07.424913+00:00", "module": "market_lense.state_service", "role": "service", "event": "state_get_start", "fields": {"file_id": "1NRM3hEHNRGv_GEfaZOZmX5D35sGdA9dl"}}
21:43:07 | INFO | market_lense.sqlite_migration_service | {"run_id": "c0bc47ea-cb04-4082-b97c-428de976d3a1", "task_id": "out\\cm-agencyfactsheet-updated-12-4-2024-1-pdf.html", "span_id": "d391a9a1-c7e0-4fd9-b8c3-9268ea81aff0", "trace_id": "0664af31-cc71-4911-bfbb-baa52639f7fc", "parent_span_id": "dc081732-2919-4561-9f26-1106ef1cd824", "span_name": "out\\cm-agencyfactsheet-updated-12-4-2024-1-pdf.html", "span_depth": 1, "timestamp_utc": "2026-05-19T19:43:07.427909+00:00", "module": "market_lense.sqlite_migration_service", "role": "service", "event": "sqlite_migration_ledger_start", "fields": {"database_key": "state_db", "db_path": "./state/index.sqlite", "current_version": 5, "target_version": 5, "pending_migration_ids": []}}
21:43:07 | INFO | market_lense.sqlite_migration_service | {"run_id": "c0bc47ea-cb04-4082-b97c-428de976d3a1", "task_id": "out\\cm-agencyfactsheet-updated-12-4-2024-1-pdf.html", "span_id": "d391a9a1-c7e0-4fd9-b8c3-9268ea81aff0", "trace_id": "0664af31-cc71-4911-bfbb-baa52639f7fc", "parent_span_id": "dc081732-2919-4561-9f26-1106ef1cd824", "span_name": "out\\cm-agencyfactsheet-updated-12-4-2024-1-pdf.html", "span_depth": 1, "timestamp_utc": "2026-05-19T19:43:07.428171+00:00", "module": "market_lense.sqlite_migration_service", "role": "service", "event": "sqlite_migration_ledger_complete", "fields": {"database_key": "state_db", "db_path": "./state/index.sqlite", "current_version": 5, "applied_migration_ids": []}}
21:43:07 | INFO | market_lense.state_service | {"run_id": "c0bc47ea-cb04-4082-b97c-428de976d3a1", "task_id": "out\\cm-agencyfactsheet-updated-12-4-2024-1-pdf.html", "span_id": "d391a9a1-c7e0-4fd9-b8c3-9268ea81aff0", "trace_id": "0664af31-cc71-4911-bfbb-baa52639f7fc", "parent_span_id": "dc081732-2919-4561-9f26-1106ef1cd824", "span_name": "out\\cm-agencyfactsheet-updated-12-4-2024-1-pdf.html", "span_depth": 1, "timestamp_utc": "2026-05-19T19:43:07.429562+00:00", "module": "market_lense.state_service", "role": "service", "event": "state_get_complete", "fields": {"file_id": "1NRM3hEHNRGv_GEfaZOZmX5D35sGdA9dl", "found": true}}
21:43:07 | INFO | market_lense.file_service | {"run_id": "c0bc47ea-cb04-4082-b97c-428de976d3a1", "task_id": "out\\cm-agencyfactsheet-updated-12-4-2024-1-pdf.html", "span_id": "d391a9a1-c7e0-4fd9-b8c3-9268ea81aff0", "trace_id": "0664af31-cc71-4911-bfbb-baa52639f7fc", "parent_span_id": "dc081732-2919-4561-9f26-1106ef1cd824", "span_name": "out\\cm-agencyfactsheet-updated-12-4-2024-1-pdf.html", "span_depth": 1, "timestamp_utc": "2026-05-19T19:43:07.429855+00:00", "module": "market_lense.file_service", "role": "service", "event": "read_text_start", "fields": {"path": "out\\cm-agencyfactsheet-updated-12-4-2024-1-pdf\\report_analysis\\validation.json"}}
