stage,record_count
admission_preflight,20
analysis_complete,8
artifact_generation,9
candidate_qualification,20
category_fit,20
discovery,20
evidence_generation,20
final_html_validation,5
grounding_validation,8
publication_preflight,5
regeneration,8
rendering,5
semantic_validation,8
source_preparation,20
source_validation,20
structured_output_repair,20
taxonomy,20
