stage,record_count
admission_preflight,20
analysis_complete,7
artifact_generation,9
candidate_qualification,20
category_fit,19
category_fit_structured_output_repair,1
discovery,20
evidence_generation,19
final_html_validation,2
grounding_validation,7
publication_preflight,2
regeneration,7
rendering,2
semantic_validation,7
source_preparation,20
source_validation,20
structured_output_repair,19
taxonomy,20
