stage,record_count
acquisition,20
admission_preflight,20
analysis_complete,15
artifact_generation,20
authenticated_readback,19
candidate_qualification,20
category_fit,20
discovery,20
evidence_generation,20
final_html_validation,20
grounding_validation,20
ingestion,20
publication_preflight,19
regeneration,20
rendering,20
repeat_publication,19
semantic_validation,20
source_preparation,20
source_validation,20
structured_output_repair,20
taxonomy,20
wordpress_lookup,19
wordpress_write,19
